id;Magasin;Code communication;Référence commande;Référence commande externe;Référence pré commande;Configuration commande externe;Date commande;Date livraison;Date validation;Date de début de validation;Date de fin de validation;Statut;Créée par;Validée par;Fournisseur;Nom;Prénom;Titre;Adresse 1;Adresse 2;Adresse 3;Code postal;Ville;Pays;Téléphone 1;Téléphone 2;Fax;Email;Entreprise;Numéro T.V.A. intra.;A.P.E.;SIRET;SIREN;Historique
91631b27-722c-4a7f-9a23-0a0cae0f0552;230;;87894195;EPICERIE CENTRALE;;;12/11/2025 14:16:43;13/11/2025;12/11/2025 14:28:18;;;en attente de livraison;bdagninimonza;bdagninimonza;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;
1a9b01ae-4580-4f42-896e-ca7c6c250f77;230;;14877626;EPICERIE CENTRALE;;;12/11/2025 13:18:11;13/11/2025;12/11/2025 13:20:01;;;en attente de livraison;OMAIGA;OMAIGA;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;
1561f413-de89-4d77-af22-c185e42fe6b6;230;;25305053;EPICERIE CENTRALE;;;12/11/2025 13:13:22;13/11/2025;12/11/2025 13:16:10;;;en attente de livraison;OMAIGA;OMAIGA;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;
a4f4cec3-b8af-4ac3-a631-a2dd7b262452;230;;29065745;BAZAR CENTRALE;;;12/11/2025 11:10:34;13/11/2025;12/11/2025 11:22:00;;;en attente de livraison;PKOBENAN;PKOBENAN;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;
3963bd64-8a27-4407-abb3-cf6b67a864de;230;;18884525;EPICERIE CENTRALE;;;12/11/2025 10:52:42;13/11/2025;12/11/2025 11:02:09;;;en attente de livraison;RSoumahoro;RSoumahoro;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;
735a6a20-94b0-4673-9e43-a0368ed00620;230;;12161491;EPICERIE CENTRALE;;;12/11/2025 10:47:55;13/11/2025;12/11/2025 11:10:41;;;en attente de livraison;PKOBENAN;PKOBENAN;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;
606c6426-4d37-4e34-94cc-d35b77382f77;230;;32326140;FRUITS ET LEGUMES CENTRALE;;;12/11/2025 10:19:18;13/11/2025;12/11/2025 10:47:58;;;en attente de livraison;PKOBENAN;PKOBENAN;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;
e1bf52de-6645-4e81-b7ed-cfd6e08e3808;230;;23012678;LIQUIDE CENTRALE;;;12/11/2025 10:03:28;13/11/2025;12/11/2025 10:08:07;;;en attente de livraison;RAssemian;RAssemian;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;
b0628eb9-addc-4ddc-8c41-54a7b7728ecf;230;;26923226;CREMERIE CENTRALE;;;12/11/2025 09:56:02;13/11/2025;12/11/2025 10:17:59;;;en attente de livraison;PKOBENAN;PKOBENAN;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;
f39d9a22-24f3-444d-90ef-db596940057f;230;;10299099;SURGELE CENTRALE;;;12/11/2025 09:23:45;13/11/2025;12/11/2025 09:55:57;;;en attente de livraison;PKOBENAN;PKOBENAN;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;
6764cd35-8ce4-45f6-8375-4448e584388f;230;;15313599;FRUITS ET LEGUMES LD;;;12/11/2025 08:52:15;12/11/2025;12/11/2025 15:27:47;;;en attente de livraison;KTRAORE;PKOBENAN;LECOCOTIER;;;;;;;;;;;;;;;;;;;
9849a872-ddd9-40eb-a28f-9f3be11211a3;230;;33636378;FRUITS ET LEGUMES LD;;;12/11/2025 08:50:21;12/11/2025;12/11/2025 15:37:35;;;en attente de livraison;KTRAORE;PKOBENAN;OCEANA DISTRIBUTION DE F&L;;;;;;;;;;;;;;;;;;;
96711d4e-f00f-4fc7-8b76-f4a144e93fe5;230;;17296028;FRUITS ET LEGUMES LD;;;12/11/2025 08:49:14;12/11/2025;12/11/2025 15:26:16;;;en attente de livraison;KTRAORE;PKOBENAN;BOUBACAR MOUSSA GAOH;;;;;;;;;;;;;;;;;;;
d8751b4a-9bd5-473c-8bec-865348841310;230;;14510248;FRUITS ET LEGUMES LD;;;12/11/2025 08:46:34;12/11/2025;12/11/2025 15:35:45;;;en attente de livraison;KTRAORE;PKOBENAN;ZAKARI CHAFFIOU;;;;;;;;;;;;;;;;;;;
5468126d-7e6f-4d54-8742-7891fbbd22ba;230;;17134268;FRUITS ET LEGUMES LD;;;12/11/2025 08:43:00;12/11/2025;12/11/2025 15:28:45;;;en attente de livraison;KTRAORE;PKOBENAN;SAHIBOU ALIMOU;;;;;;;;;;;;;;;;;;;
b756e5e2-ff7a-469d-834b-9bcbf02bba87;230;;64109828;LIQUIDE CENTRALE;;;11/11/2025 20:15:19;12/11/2025;11/11/2025 20:20:17;;;en attente de livraison;RAssemian;RAssemian;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;
44368c31-5c4a-4e99-b88b-12592a23c4a0;230;;43550413;CENTRALE DPHE;;;11/11/2025 17:28:26;12/11/2025;11/11/2025 17:45:28;;;en attente de livraison;AMALAN;AMALAN;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;
e61d098c-0088-4469-9b8e-7ff09965ef28;230;;29612387;LIQUIDE CENTRALE;;;11/11/2025 14:49:31;12/11/2025;11/11/2025 15:48:53;;;en attente de livraison;BTOURE;BTOURE;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;
1d5d9a45-8d4a-4bb0-92b9-432dc65c21d7;230;;26214124;EPICERIE CENTRALE;;;11/11/2025 13:31:29;12/11/2025;11/11/2025 13:37:03;;;en attente de livraison;KKOUASSI;KKOUASSI;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;
