id;Magasin;Code communication;Référence commande;Référence commande externe;Référence pré commande;Configuration commande externe;Date commande;Date livraison;Date validation;Date de début de validation;Date de fin de validation;Statut;Créée par;Validée par;Fournisseur;Nom;Prénom;Titre;Adresse 1;Adresse 2;Adresse 3;Code postal;Ville;Pays;Téléphone 1;Téléphone 2;Fax;Email;Entreprise;Numéro T.V.A. intra.;A.P.E.;SIRET;SIREN;Historique
5bb4b54d-3263-4ce8-9a14-608e974e435e;364;;99137835;CDM FRAIS GENERAUX DU 11/11/25;;;11/11/2025 13:11:45;12/11/2025;11/11/2025 13:17:21;;;en attente de livraison;st.assielou;st.assielou;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;
fced29b0-6df2-45f3-b03a-bee5cf1f3e6f;364;;48245399;CMD FRAIS CENTRALE;;;11/11/2025 10:03:53;12/11/2025;11/11/2025 12:49:55;;;en attente de livraison;s.koua;st.assielou;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;
0a428ea1-2444-4eb0-bc93-e67dca0e22b0;364;;16876634;LD CMD EPICERIE CHIPS;;;11/11/2025 09:59:07;11/11/2025;11/11/2025 10:05:25;;;en attente de livraison;kdr.kouakou;kdr.kouakou;NUTRI FOOD INDUSTRY;;;;;;;;;;;;;;;;;;;
7731b705-5283-4081-af25-a36ce092c0ea;364;;18578952;CMD FRAIS CENTRALE;;;11/11/2025 09:29:38;12/11/2025;11/11/2025 09:45:45;;;en attente de livraison;s.koua;s.koua;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;
