id;Magasin;Code communication;Référence commande;Référence commande externe;Référence pré commande;Configuration commande externe;Date commande;Date livraison;Date validation;Date de début de validation;Date de fin de validation;Statut;Créée par;Validée par;Fournisseur;Nom;Prénom;Titre;Adresse 1;Adresse 2;Adresse 3;Code postal;Ville;Pays;Téléphone 1;Téléphone 2;Fax;Email;Entreprise;Numéro T.V.A. intra.;A.P.E.;SIRET;SIREN;Historique;Type commande;supplier.is_central;Fournisseur centrale
ea3c291e-49eb-41e6-b9bd-fb614c84bedd;415;;27886139;cmd complement liquide;;;13/11/2025 15:18:15;14/11/2025;13/11/2025 15:20:48;;;en attente de livraison;gbvzoma;gbvzoma;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;DIRECTE;NON;NON
42519124-5682-4740-a7ef-8d1eef0f0015;415;;22346665;CMD BAZAR;;;13/11/2025 11:14:14;14/11/2025;13/11/2025 13:26:41;;;en attente de livraison;KDONGO;gbvzoma;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;DIRECTE;NON;NON
9a3d8f2e-57ff-4c3e-b2ed-9970b7ab1bd5;415;;14559982;CMD HYGIENE/PARFUMERIE;;;13/11/2025 09:36:27;14/11/2025;13/11/2025 11:55:48;;;en attente de livraison;KDONGO;gbvzoma;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;DIRECTE;NON;NON
47522e85-7234-4d63-acfb-e827b7c9f461;415;;11537391;CMD ENTRET/DROGUERIE;;;13/11/2025 09:01:07;14/11/2025;13/11/2025 11:54:59;;;en attente de livraison;KDONGO;gbvzoma;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;DIRECTE;NON;NON
2338b08f-f32d-404e-83d6-4db25f60f989;415;;20722990;CMD PATISSERIE;;;12/11/2025 20:48:02;14/11/2025;13/11/2025 11:54:38;;;en attente de livraison;gbvzoma;gbvzoma;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;DIRECTE;NON;NON
e9ae51ad-bb79-4d2e-92ca-be04cbbc63b9;415;;42893260;CMD SURGELE;;;12/11/2025 20:33:12;14/11/2025;13/11/2025 11:53:47;;;en attente de livraison;gbvzoma;gbvzoma;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;DIRECTE;NON;NON
b30ebd74-cb80-492c-a871-ab724247acb9;415;;14695204;CMD EPICERIE SALEE;;;12/11/2025 20:24:59;14/11/2025;13/11/2025 11:53:27;;;en attente de livraison;KDONGO;gbvzoma;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;DIRECTE;NON;NON
6f8ae92e-e7bf-4654-abdc-cfa7410bf2d6;415;;33722706;CMD EPICERIE SUCREE;;;12/11/2025 20:09:19;14/11/2025;13/11/2025 11:52:32;;;en attente de livraison;KDONGO;gbvzoma;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;DIRECTE;NON;NON
d647b5f8-4865-4a73-872a-ccfd7b0a5092;415;;31810501;CMD CREMERIE  DU FRAIS;;;12/11/2025 14:55:25;12/11/2025;13/11/2025 13:23:46;;;en attente de livraison;gbvzoma;gbvzoma;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;DIRECTE;NON;NON
700f5dbf-642d-4897-aa60-0bc1bbb967bc;415;;95866734;CMD LIQUIDE;;;12/11/2025 14:07:18;14/11/2025;13/11/2025 11:50:09;;;en attente de livraison;gbvzoma;gbvzoma;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;DIRECTE;NON;NON
