id;Magasin;Code communication;Référence commande;Référence commande externe;Référence pré commande;Configuration commande externe;Date commande;Date livraison;Date validation;Date de début de validation;Date de fin de validation;Statut;Créée par;Validée par;Fournisseur;Nom;Prénom;Titre;Adresse 1;Adresse 2;Adresse 3;Code postal;Ville;Pays;Téléphone 1;Téléphone 2;Fax;Email;Entreprise;Numéro T.V.A. intra.;A.P.E.;SIRET;SIREN;Historique;Type commande;is_direct;is_external
93590ccb-a0d6-4427-b3bf-ea2d96fd19e0;294;;12097984;CMD LD;;;14/11/2025 12:14:48;14/11/2025;14/11/2025 12:33:34;;;en attente de livraison;aassoumou;aassoumou;EUROLAIT S.A;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
7f6e365e-65b0-436d-a9dc-23f6bb216f9f;294;;11532520;COMMANDE FRAIS GENERAUX TRAITEUR;;;14/11/2025 11:51:42;15/11/2025;14/11/2025 11:53:33;;;en attente de livraison;mdan;mdan;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
30bf4a7d-13ea-463c-9df2-dd0d7a29dcc2;294;;88654202;LIVRAISON DIRECT EPICERIE LD;;;14/11/2025 11:15:39;14/11/2025;14/11/2025 11:18:24;;;en attente de livraison;lkoutouan;lkoutouan;CROCK SAVEURS;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
fdc75b7d-f923-4ca2-979f-84dbefb8ed78;294;;53961074;CMD SURGELE LC;;;14/11/2025 10:04:00;15/11/2025;14/11/2025 10:11:49;;;en attente de livraison;aassoumou;aassoumou;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
10b1b2c2-3654-415c-877e-8be23e84fe7b;294;;31368913;COMMANDE LD POISSONNERIE;;;14/11/2025 09:34:00;14/11/2025;14/11/2025 09:35:47;;;en attente de livraison;mdan;mdan;IVOIRE MAKOUPE;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
98f0443c-43f6-441e-a289-76b1f926c987;294;;29346964;;;;14/11/2025 09:23:00;14/11/2025;14/11/2025 09:25:49;;;en attente de livraison;aassoumou;aassoumou;HO VAN TA;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
69056fd4-3c5c-4b90-8a11-7c7e3dc9de4d;294;;97617511;COMMANDE CREMERIE LC;;;14/11/2025 09:02:33;15/11/2025;14/11/2025 09:27:31;;;en attente de livraison;mdan;mdan;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
c44798c3-0fd0-4dce-bcb7-a740c6ed7211;294;;75605647;CMD CREMERIE LS LC;;;14/11/2025 08:35:51;15/11/2025;14/11/2025 08:40:35;;;en attente de livraison;aassoumou;aassoumou;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
83676ca4-5b52-4da8-ae80-82e0b45c6bca;294;;15888552;COMMANDE FRUITS ET LEGUMES;;;14/11/2025 08:15:51;15/11/2025;14/11/2025 09:02:03;;;en attente de livraison;mdan;mdan;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
7f5b4020-5970-4ca7-9cff-ca7411a63122;294;;36520605;CMD LD LIQUIDE;;;13/11/2025 17:08:37;13/11/2025;13/11/2025 17:14:43;;;en attente de livraison;kjyggnapoh;kjyggnapoh;AGROCI;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
614e464c-d5dc-4d6e-befc-6b4822e89819;294;;23115142;CMD LD LIQUIDE;;;13/11/2025 17:01:08;13/11/2025;13/11/2025 17:07:24;;;en attente de livraison;kjyggnapoh;kjyggnapoh;AGROCI;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
63a13bef-b1dd-4d05-a982-078250aa0fec;294;;28579885;CMD LD PAT;;;13/11/2025 16:55:28;13/11/2025;13/11/2025 16:57:25;;;en attente de livraison;aassoumou;aassoumou;GATEAU & PAIN;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
dfd6fe24-4199-4d43-a382-1932ae3de0fc;294;;52413060;;;;13/11/2025 16:30:02;13/11/2025;13/11/2025 16:35:57;;;en attente de livraison;asachiama;asachiama;LE PANIER LOCAL;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
eb0c960a-6cc4-462e-8b4d-cc55fecf4baf;294;;31927344;;;;13/11/2025 16:24:51;13/11/2025;13/11/2025 16:27:21;;;en attente de livraison;sdbgbzguy;sdbgbzguy;S.B.V(STE/BOULANGERIE/VOLAILLE);;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
82b1e4d9-f880-42ee-9f10-4975d3ab15ff;294;;32666047;CMD LD DPH;;;13/11/2025 16:07:40;13/11/2025;13/11/2025 16:36:30;;;en attente de livraison;ckakpo;ckakpo;NANO;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
5610aa40-0b6d-4a52-a212-49fa2bd496c8;294;;25506103;CMD LD DPH;;;13/11/2025 15:55:41;13/11/2025;13/11/2025 15:59:56;;;en attente de livraison;ckakpo;ckakpo;NANO;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
67a40475-1ee4-4242-8ee9-25216cfc8159;294;;27350340;;;;13/11/2025 14:59:33;13/11/2025;13/11/2025 15:04:49;;;en attente de livraison;yrfatse;yrfatse;ETS MON JARDIN;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
d72ffa8e-c885-4317-a9d6-ea1b87314141;294;;12047758;commande centrale;;;13/11/2025 14:29:29;14/11/2025;13/11/2025 14:43:16;;;en attente de livraison;ckakpo;ckakpo;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
f85b3b6b-1476-4cd3-86f7-d0eb9b685210;294;;18808067;COMMANDE EPICERIE LC;;;13/11/2025 14:27:52;13/11/2025;13/11/2025 14:29:47;;;en attente de livraison;;kevdjaha;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
