id;Magasin;Code communication;Référence commande;Référence commande externe;Référence pré commande;Configuration commande externe;Date commande;Date livraison;Date validation;Date de début de validation;Date de fin de validation;Statut;Créée par;Validée par;Fournisseur;Nom;Prénom;Titre;Adresse 1;Adresse 2;Adresse 3;Code postal;Ville;Pays;Téléphone 1;Téléphone 2;Fax;Email;Entreprise;Numéro T.V.A. intra.;A.P.E.;SIRET;SIREN;Historique
7169df3e-5f88-4557-90bf-abcbe4c896de;294;;20070216;CMD LD CHARCUTERIE COUPE;;;12/11/2025 15:20:28;12/11/2025;12/11/2025 15:22:34;;;en attente de livraison;gkban;gkban;COQIVOIRE(SIPRA);;;;;;;;;;;;;;;;;;;
3bdcfa2a-fe59-4e48-927f-8446bde3817f;294;;25743555;;;;12/11/2025 13:57:54;12/11/2025;12/11/2025 14:04:17;;;en attente de livraison;isidibe;isidibe;S.B.V(STE/BOULANGERIE/VOLAILLE);;;;;;;;;;;;;;;;;;;
9ae6be17-5ae8-4a45-9055-c0b6463588c9;294;;22421115;LIVRAISON DIRECT LD EPICERIE;;;12/11/2025 12:39:17;12/11/2025;12/11/2025 12:41:06;;;en attente de livraison;bebhjkouassi;bebhjkouassi;MOHIZI;;;;;;;;;;;;;;;;;;;
e51e4522-523b-48b3-9536-efac8d41ae86;294;;32723274;LIVRAISON DIRECT LD EPICERIE;;;12/11/2025 12:22:32;12/11/2025;12/11/2025 12:25:28;;;en attente de livraison;bebhjkouassi;bebhjkouassi;JUSLICIEUX;;;;;;;;;;;;;;;;;;;
2b40e3de-703f-4295-93e7-641e35a243b2;294;;21941355;;;;12/11/2025 12:19:53;12/11/2025;12/11/2025 12:24:29;;;en attente de livraison;asachiama;asachiama;PRODUITS FERMIERS IVOIRIENS;;;;;;;;;;;;;;;;;;;
5ea82e57-1fce-4cdc-91cd-bea5ea8f4b93;294;;16597096;;;;12/11/2025 12:16:54;12/11/2025;12/11/2025 12:19:27;;;en attente de livraison;asachiama;asachiama;LE PANIER LOCAL;;;;;;;;;;;;;;;;;;;
1b7ddde4-26fc-45a5-b89c-4020d31c11c1;294;;16988016;;;;12/11/2025 12:14:30;12/11/2025;12/11/2025 12:16:42;;;en attente de livraison;asachiama;asachiama;TERRE SOLEIL SARL;;;;;;;;;;;;;;;;;;;
03cd771a-f7ee-471d-b5fe-a2a46568cd36;294;;23635198;CMD LD PAT;;;12/11/2025 12:10:54;12/11/2025;12/11/2025 12:18:05;;;en attente de livraison;icisse;icisse;GATEAU & PAIN;;;;;;;;;;;;;;;;;;;
a7fed4cf-1145-40e1-bb35-50e851f6aea0;294;;68749942;;;;12/11/2025 12:10:04;12/11/2025;12/11/2025 12:13:12;;;en attente de livraison;asachiama;asachiama;LECOCOTIER;;;;;;;;;;;;;;;;;;;
fc14bf5d-183f-4154-abf3-e4b360ff9ac1;294;;22603101;CMD LD PAT;;;12/11/2025 12:04:11;12/11/2025;12/11/2025 12:10:44;;;en attente de livraison;icisse;icisse;S2P SOCOCE Z3;;;;;;;;;;;;;;;;;;;
