id;Magasin;Code communication;Référence commande;Référence commande externe;Référence pré commande;Configuration commande externe;Date commande;Date livraison;Date validation;Date de début de validation;Date de fin de validation;Statut;Créée par;Validée par;Fournisseur;Nom;Prénom;Titre;Adresse 1;Adresse 2;Adresse 3;Code postal;Ville;Pays;Téléphone 1;Téléphone 2;Fax;Email;Entreprise;Numéro T.V.A. intra.;A.P.E.;SIRET;SIREN;Historique;Type commande;is_direct;is_external
94a75ed9-15f8-4f5a-ac58-86388b653df7;416;;31682922;CMD LD KLEENJET 14/11/2025;;;14/11/2025 12:06:27;14/11/2025;14/11/2025 12:29:14;;;en attente de livraison;ACOULIBALY;ACOULIBALY;KLEENJET;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
c2ce189d-b669-4854-b170-6d5ad8b1681f;416;;14429203;CMD LC CREMERIE;;;13/11/2025 12:05:55;14/11/2025;13/11/2025 12:11:02;;;en attente de livraison;YGKILET;YGKILET;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
b26e3a70-5f6e-4abc-99bf-0d4e839ec1a8;416;;60287610;CMD LC SURGELE;;;13/11/2025 11:50:11;14/11/2025;13/11/2025 12:03:07;;;en attente de livraison;YGKILET;YGKILET;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
6dddba3b-fcd1-4c6e-9b50-01027b80cd54;416;;17966749;CMD LC LIQUIDE N'01 13/11/2025;;;13/11/2025 09:32:10;14/11/2025;13/11/2025 10:35:27;;;en attente de livraison;AAGKOGUIO;AAGKOGUIO;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
9cc62d6b-03d7-42ae-8ade-4408fd27ade7;416;;40080512;CMD LC LIQUIDE 13/11/2025;;;13/11/2025 09:06:10;14/11/2025;13/11/2025 09:32:24;;;en attente de livraison;AAGKOGUIO;AAGKOGUIO;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
f33abca5-f6d5-4008-9535-2995cebcb9bc;416;;32393591;CMD LC HYGIENE PARFUMERIE;;;13/11/2025 08:48:32;14/11/2025;13/11/2025 09:17:38;;;en attente de livraison;ACOULIBALY;ACOULIBALY;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
e48e3e03-2263-487e-acaa-8744c0b6d36a;416;;20262545;CMD LC ENTRETIEN DROGUERIE;;;13/11/2025 08:29:19;14/11/2025;13/11/2025 08:47:54;;;en attente de livraison;ACOULIBALY;ACOULIBALY;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
5285f16a-a8f1-4b48-a739-7095b176796d;416;;51149445;;;;13/11/2025 08:19:26;13/11/2025;13/11/2025 08:59:17;;;en attente de livraison;AAGKOGUIO;AAGKOGUIO;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
