id;Magasin;Code communication;Référence commande;Référence commande externe;Référence pré commande;Configuration commande externe;Date commande;Date livraison;Date validation;Date de début de validation;Date de fin de validation;Statut;Créée par;Validée par;Fournisseur;Nom;Prénom;Titre;Adresse 1;Adresse 2;Adresse 3;Code postal;Ville;Pays;Téléphone 1;Téléphone 2;Fax;Email;Entreprise;Numéro T.V.A. intra.;A.P.E.;SIRET;SIREN;Historique
6238749b-fb51-4d8d-a397-16c18e9cfdd3;292;;10383292;CMD LD TRAITEUR;;;12/11/2025 17:59:36;05/11/2025;05/11/2025 18:04:40;;;en attente de livraison;ben.kouame;ben.kouame;DO EAT;;;;;;;;;;;;;;;;;;;
aa368ec5-d27e-4250-9b90-7847bd7e4d25;292;;19728350;LC CMD FRUITS ET LEGUMES;;;12/11/2025 13:22:08;12/11/2025;12/11/2025 13:30:02;;;en attente de livraison;d.amonkou;d.amonkou;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;
5626d329-9483-48b5-b920-72c207ba147d;292;;28581765;CMDE LC CHARCU;;;12/11/2025 12:26:46;13/11/2025;12/11/2025 12:33:12;;;en attente de livraison;bh.sei;bh.sei;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;
cf77d7d7-4e2d-4080-9144-e65782041a30;292;;30702913;LC CMD PATISSERIE;;;12/11/2025 12:07:09;13/11/2025;12/11/2025 12:10:00;;;en attente de livraison;d.amonkou;d.amonkou;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;
00930a18-fa21-44d8-97fd-f0d55dbebeb8;292;;16580103;CMDE LC CREMERIE / SURG;;;12/11/2025 12:04:38;13/11/2025;12/11/2025 12:26:21;;;en attente de livraison;bh.sei;bh.sei;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;
150e894a-57ba-4d93-bf7b-4af2e1cccf9f;292;;23482933;CMD REASSORT 12/11/2025;;;12/11/2025 12:01:38;13/11/2025;12/11/2025 12:05:53;;;en attente de livraison;ben.kouame;ben.kouame;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;
a1eee8a1-f6df-431b-a36e-e593b109417f;292;;22818820;LC CMD FRUITS ET LEGUMES;;;12/11/2025 11:50:15;13/11/2025;12/11/2025 12:19:16;;;en attente de livraison;d.amonkou;d.amonkou;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;
80b028ab-d294-42de-8ba2-bb264e3349c3;292;;27140728;LD CMDE EPICERIE;;;12/11/2025 11:16:27;12/11/2025;12/11/2025 11:29:28;;;en attente de livraison;bh.sei;bh.sei;ADDICT FOOD SERVICE;;;;;;;;;;;;;;;;;;;
4cdb648d-8674-42b0-84b0-13b5e6a051cd;292;;30316230;LD ENTRE-DROGUERIE;;;12/11/2025 09:23:32;12/11/2025;12/11/2025 09:31:23;;;en attente de livraison;bh.sei;bh.sei;STINAL;;;;;;;;;;;;;;;;;;;
da175a7d-1ec4-475b-8339-00f89d46edaf;292;;22403260;LD CMDE EPICERIE;;;12/11/2025 08:26:48;12/11/2025;12/11/2025 08:47:27;;;en attente de livraison;bh.sei;bh.sei;EUROLAIT S.A;;;;;;;;;;;;;;;;;;;
f9631a0f-2166-477a-8418-4e64948d9a15;292;;10011745;LD CMD EPICERIE;;;11/11/2025 20:09:38;11/11/2025;11/11/2025 20:10:53;;;en attente de livraison;ai.sanogo;ai.sanogo;CROCK SAVEURS;;;;;;;;;;;;;;;;;;;
99e782a1-17e0-47a3-944f-d69756220057;292;;26001828;CMD LIQUIDE 105;;;11/11/2025 14:57:23;12/11/2025;11/11/2025 15:02:41;;;en attente de livraison;bh.sei;bh.sei;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;
348560eb-a8e8-49aa-92e9-e437d973516a;292;;24548638;LC CMD PATISSERIE;;;11/11/2025 13:47:47;12/11/2025;11/11/2025 13:49:02;;;en attente de livraison;s.meledje;s.meledje;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;
eb667cda-bb68-4c73-b3f4-3666d731fbd7;292;;30089000;;;;11/11/2025 13:11:20;12/11/2025;11/11/2025 13:12:27;;;en attente de livraison;d.amonkou;d.amonkou;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;
71c2cf1a-993b-4336-bf6a-5f7d6dfa0554;292;;29572287;;;;11/11/2025 13:01:52;12/11/2025;11/11/2025 13:04:41;;;en attente de livraison;d.amonkou;d.amonkou;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;
cc3506b3-a2e3-4796-a4ce-645f80345639;292;;28752032;CMDE LC CHARCUTERIE;;;11/11/2025 12:58:48;12/11/2025;11/11/2025 13:23:22;;;en attente de livraison;bh.sei;bh.sei;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;
9584b2e9-0815-412c-b71e-f802814b54ef;292;;27081357;CMDE LC CREMERIE / SURG;;;11/11/2025 12:33:24;12/11/2025;11/11/2025 12:57:33;;;en attente de livraison;bh.sei;bh.sei;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;
1dac89bd-86a4-4c06-8aeb-ba3042404176;292;;32761132;;;;11/11/2025 12:05:15;12/11/2025;11/11/2025 12:32:15;;;en attente de livraison;fo.dago;fo.dago;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;
05dd2a33-1562-4cbd-8e9c-aeaa652a87a5;292;;41188382;LD CMD HYGIENE PARFUMERIE;;;11/11/2025 11:11:39;11/11/2025;11/11/2025 11:28:04;;;en attente de livraison;bh.sei;bh.sei;SOCIETE IVOIRIENNE DE PARFUMERIE;;;;;;;;;;;;;;;;;;;
1fc3a37f-a8ee-46ba-82fe-f5f8b4f5c984;292;;32990326;LD CMD EPICERIE;;;11/11/2025 10:21:15;11/11/2025;11/11/2025 10:27:24;;;en attente de livraison;bh.sei;bh.sei;EVEREST BAYARA;;;;;;;;;;;;;;;;;;;
569fe3b9-7a8b-48bb-843c-89173f924d52;292;;25489334;LD CMD EPICERIE;;;11/11/2025 10:18:41;11/11/2025;11/11/2025 10:20:25;;;en attente de livraison;bh.sei;bh.sei;COSCO INTERNATIONAL;;;;;;;;;;;;;;;;;;;
e6861a4b-e202-40e1-b9b4-fa8cbcc946e9;292;;77656059;CMDE CENTRALE LIQUIDE;;;11/11/2025 10:14:05;12/11/2025;11/11/2025 11:57:00;;;en attente de livraison;d.amonkou;d.amonkou;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;
2e995961-f469-4d59-aebc-a30c37d0641c;292;;33577948;LC CMD EPICERIE;;;11/11/2025 09:52:54;12/11/2025;11/11/2025 10:08:56;;;en attente de livraison;bh.sei;bh.sei;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;
08ac7f02-f8d8-4cff-a01f-a86dbf1570df;292;;11380121;LC CMD EPICERIE;;;11/11/2025 09:27:34;12/11/2025;11/11/2025 09:46:07;;;en attente de livraison;bh.sei;bh.sei;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;
37ce2d10-01fb-4763-b2b0-49603bc69499;292;;10510564;LC CMD EPICERIE;;;11/11/2025 08:55:13;12/11/2025;11/11/2025 09:27:46;;;en attente de livraison;bh.sei;bh.sei;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;
9d7a0898-1aec-470b-91c1-30d1f5008117;292;;14856323;LC CMD EPICERIE;;;11/11/2025 08:22:07;12/11/2025;11/11/2025 08:53:06;;;en attente de livraison;bh.sei;bh.sei;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;
49a29c55-3a09-4ad8-b722-e6b46525f01e;292;;24381905;LC CMD EPICERIE;;;11/11/2025 06:58:40;12/11/2025;11/11/2025 07:07:21;;;en attente de livraison;bh.sei;bh.sei;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;
006ab101-7764-4b90-9b40-1a3591309a7c;292;;19764971;LC CMD CENTRALE ENT/DROG;;;11/11/2025 02:51:02;12/11/2025;11/11/2025 03:04:17;;;en attente de livraison;d.amonkou;d.amonkou;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;
58e1e778-37cc-4461-a8a4-18f93d3b581d;292;;25423754;LC CMD CENTRALE DPH HY/PARF;;;11/11/2025 00:59:34;12/11/2025;11/11/2025 01:40:43;;;en attente de livraison;d.amonkou;d.amonkou;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;
